iter	Logloss
0	0.6780934557
1	0.6644644972
2	0.6522120318
3	0.641415281
4	0.6317626648
5	0.6228762948
6	0.6152316437
7	0.6082726157
8	0.602171269
9	0.5963418448
10	0.5913522034
11	0.586807894
12	0.5826390512
13	0.5789444907
14	0.5754894758
15	0.5724465354
16	0.5697209342
17	0.5671362675
18	0.565072028
19	0.5629527871
20	0.5610174561
21	0.5592150421
22	0.5576708897
23	0.5561259591
24	0.5547853328
25	0.5535940879
26	0.5524577942
27	0.5514166303
28	0.5504743129
29	0.5495625044
30	0.548807336
31	0.5482151337
32	0.5475705174
33	0.5470277557
34	0.5464041966
35	0.5458347975
36	0.5453000597
37	0.5448977509
38	0.5444452449
39	0.5440397557
40	0.5436621835
41	0.5432918287
42	0.5429175219
43	0.5426050611
44	0.5422505886
45	0.5420226004
46	0.5416793627
47	0.5414711195
48	0.541239587
49	0.5410201481
50	0.5407223554
51	0.5405165536
52	0.5403324454
53	0.5401778761
54	0.5399913134
55	0.5398525347
56	0.5396688189
57	0.5394854191
58	0.5393202013
59	0.5391402174
60	0.538970932
61	0.538808027
62	0.5387062073
63	0.5385720171
64	0.5384085584
65	0.5382466605
66	0.5380749555
67	0.5379662018
68	0.5378408421
69	0.5377433014
70	0.5376113717
71	0.537488909
72	0.5374027601
73	0.5372609602
74	0.5371948547
75	0.5370866045
76	0.5370006082
77	0.536905535
78	0.5368150155
79	0.5367451063
80	0.5366474239
81	0.5365577567
82	0.536528401
83	0.536441003
84	0.536330137
85	0.5362604174
86	0.536201525
87	0.5361341596
88	0.5360660073
89	0.5359183502
90	0.5358680987
91	0.5358270242
92	0.5357739585
93	0.5356792581
94	0.5356141684
95	0.5355141318
96	0.5354507381
97	0.5353654371
98	0.5353146449
99	0.5352396763
100	0.5352200884
101	0.5351100616
102	0.5349944654
103	0.5349131971
104	0.5348494524
105	0.5347935072
106	0.5347197462
107	0.53466762
108	0.5345847822
109	0.534538596
110	0.5344930834
111	0.5344039961
112	0.5343079071
113	0.5342601362
114	0.5342291238
115	0.5341692418
116	0.5340896519
117	0.5340002725
118	0.5339353834
119	0.5338779013
120	0.533773747
121	0.5337040907
122	0.5336590729
123	0.5336131156
124	0.5335182996
125	0.5334848262
126	0.5334580558
127	0.5334305311
128	0.5333694676
129	0.5333104858
130	0.5332513559
131	0.5332111402
132	0.5331721736
133	0.5331324615
134	0.5330599692
135	0.5330026943
136	0.5329318586
137	0.5328922577
138	0.5328306296
139	0.53275657
140	0.5326901572
141	0.5326311842
142	0.532575361
143	0.5325177373
144	0.5324704982
145	0.5324439479
146	0.5323835275
147	0.5323228128
148	0.5323040248
149	0.5322699563
150	0.5322059021
151	0.5321349422
152	0.532095714
153	0.5320704978
154	0.5320294037
155	0.5319851227
156	0.5319411577
157	0.5319231938
158	0.5318777531
159	0.5318349631
160	0.5317688184
161	0.5316962302
162	0.5316609279
163	0.5316164638
164	0.5315670013
165	0.5315321633
166	0.5314636448
167	0.5314285213
168	0.5313832092
169	0.5313139539
170	0.5312724915
171	0.5312268786
172	0.5311657453
173	0.5311099178
174	0.5310790057
175	0.5310530657
176	0.5310052076
177	0.5309861952
178	0.5309475076
179	0.5309041377
180	0.5308618142
181	0.5308056401
182	0.5307541242
183	0.5307246726
184	0.5306777453
185	0.5306515089
186	0.5305937369
187	0.5305271628
188	0.5304693516
189	0.5304337703
190	0.5303988974
191	0.5303575439
192	0.5303057142
193	0.530276001
194	0.5302421286
195	0.5301574816
196	0.530113072
197	0.5300845838
198	0.5300519366
199	0.5299995902
200	0.5299467686
201	0.529882673
202	0.5298431244
203	0.5297771279
204	0.5297469831
205	0.5296895294
206	0.5296416539
207	0.5295959734
208	0.5295442309
209	0.529510134
210	0.5294845145
211	0.5294365932
212	0.5294095982
213	0.5293706382
214	0.5293415658
215	0.5293087202
216	0.5292764326
217	0.5292237287
218	0.5291658739
219	0.5291215602
220	0.5290733119
221	0.5290224653
222	0.528964325
223	0.5289194358
224	0.528891558
225	0.5288129033
226	0.5287866908
227	0.5287671901
228	0.5287331805
229	0.5286987828
230	0.5285969958
231	0.5285704825
232	0.5285238081
233	0.5284813276
234	0.5284363774
235	0.5283997868
236	0.5283563014
237	0.528293978
238	0.5282362932
239	0.5281604789
240	0.5281229139
241	0.5280784629
242	0.5280304456
243	0.5279837603
244	0.5279176549
245	0.5278837694
246	0.5278242493
247	0.5277672337
248	0.5277224426
249	0.5276409302
250	0.5275807343
251	0.5275350429
252	0.5274883227
253	0.5274068887
254	0.5273765041
255	0.5273289315
256	0.5272810342
257	0.5272562648
258	0.5272154432
259	0.5271506871
260	0.5271008911
261	0.5270756618
262	0.5270536652
263	0.5270009417
264	0.5269649549
265	0.526922311
266	0.5268884081
267	0.5268602426
268	0.5268229152
269	0.5267592425
270	0.5267045201
271	0.5266512277
272	0.5265960672
273	0.5265857043
274	0.5265408085
275	0.5264738007
276	0.526421681
277	0.526386588
278	0.5263478154
279	0.5263125131
280	0.5262903377
281	0.5262653939
282	0.5262271075
283	0.5261941441
284	0.5261493225
285	0.5261176845
286	0.5260644204
287	0.5260267596
288	0.5259916055
289	0.5259533691
290	0.5259413256
291	0.5258967394
292	0.5258315059
293	0.5257748805
294	0.5257251282
295	0.5256727251
296	0.5256152213
297	0.5255417546
298	0.5254845123
299	0.5254262107
