iter	Passed	Remaining
0	24	7263
1	47	7148
2	69	6905
3	93	6938
4	120	7121
5	148	7265
6	173	7266
7	196	7166
8	220	7129
9	243	7066
10	268	7043
11	291	7002
12	315	6961
13	340	6962
14	365	6938
15	389	6922
16	415	6912
17	441	6914
18	465	6890
19	488	6842
20	511	6794
21	534	6750
22	558	6726
23	580	6671
24	607	6681
25	636	6706
26	666	6734
27	692	6726
28	720	6735
29	747	6731
30	774	6717
31	798	6684
32	823	6660
33	850	6656
34	877	6641
35	903	6628
36	931	6624
37	961	6628
38	987	6611
39	1011	6577
40	1036	6547
41	1058	6502
42	1081	6461
43	1103	6418
44	1128	6396
45	1156	6384
46	1180	6357
47	1204	6322
48	1228	6292
49	1251	6255
50	1273	6217
51	1296	6183
52	1319	6149
53	1342	6117
54	1366	6088
55	1388	6051
56	1411	6017
57	1434	5984
58	1459	5963
59	1485	5943
60	1512	5925
61	1537	5901
62	1560	5870
63	1586	5848
64	1610	5823
65	1637	5806
66	1664	5788
67	1687	5758
68	1711	5731
69	1734	5698
70	1757	5669
71	1781	5640
72	1807	5620
73	1834	5602
74	1864	5593
75	1892	5577
76	1920	5562
77	1946	5540
78	1974	5522
79	1999	5498
80	2026	5478
81	2052	5457
82	2078	5433
83	2106	5416
84	2139	5411
85	2171	5402
86	2199	5386
87	2228	5367
88	2256	5348
89	2284	5331
90	2310	5307
91	2337	5284
92	2366	5267
93	2400	5261
94	2436	5257
95	2473	5255
96	2508	5249
97	2542	5241
98	2570	5218
99	2600	5201
100	2627	5176
101	2656	5156
102	2685	5136
103	2711	5110
104	2734	5078
105	2757	5047
106	2783	5020
107	2808	4993
108	2830	4960
109	2854	4930
110	2877	4898
111	2900	4868
112	2923	4837
113	2946	4806
114	2969	4777
115	2994	4749
116	3022	4727
117	3047	4700
118	3078	4681
119	3107	4660
120	3136	4640
121	3163	4615
122	3191	4592
123	3216	4565
124	3243	4541
125	3270	4516
126	3297	4492
127	3326	4469
128	3354	4446
129	3381	4421
130	3409	4398
131	3438	4376
132	3467	4353
133	3493	4328
134	3521	4303
135	3547	4277
136	3570	4248
137	3592	4217
138	3614	4187
139	3642	4163
140	3672	4141
141	3700	4117
142	3728	4093
143	3757	4070
144	3787	4048
145	3818	4027
146	3847	4004
147	3877	3982
148	3909	3961
149	3935	3935
150	3959	3907
151	3983	3878
152	4007	3850
153	4033	3823
154	4057	3796
155	4082	3768
156	4106	3739
157	4131	3712
158	4156	3685
159	4179	3656
160	4207	3632
161	4234	3606
162	4264	3584
163	4293	3560
164	4320	3534
165	4347	3509
166	4373	3482
167	4398	3455
168	4424	3429
169	4450	3403
170	4475	3376
171	4502	3350
172	4528	3324
173	4554	3298
174	4581	3272
175	4607	3246
176	4631	3218
177	4655	3190
178	4677	3162
179	4701	3134
180	4726	3107
181	4751	3080
182	4774	3052
183	4800	3026
184	4823	2998
185	4846	2970
186	4871	2943
187	4894	2915
188	4918	2888
189	4942	2861
190	4965	2833
191	4989	2806
192	5014	2780
193	5038	2752
194	5061	2725
195	5083	2697
196	5107	2670
197	5131	2643
198	5155	2616
199	5179	2589
200	5203	2563
201	5229	2537
202	5253	2510
203	5277	2483
204	5302	2457
205	5324	2429
206	5347	2402
207	5368	2374
208	5391	2347
209	5414	2320
210	5443	2296
211	5470	2270
212	5499	2246
213	5527	2221
214	5554	2195
215	5582	2170
216	5611	2146
217	5638	2120
218	5665	2095
219	5693	2070
220	5722	2045
221	5751	2020
222	5780	1995
223	5809	1971
224	5836	1945
225	5861	1919
226	5887	1893
227	5913	1867
228	5939	1841
229	5966	1815
230	5992	1790
231	6018	1764
232	6044	1738
233	6068	1711
234	6095	1685
235	6121	1659
236	6145	1633
237	6173	1608
238	6199	1582
239	6225	1556
240	6251	1530
241	6278	1504
242	6304	1478
243	6330	1452
244	6357	1427
245	6382	1401
246	6407	1374
247	6433	1348
248	6458	1322
249	6485	1297
250	6511	1271
251	6539	1245
252	6563	1219
253	6589	1193
254	6615	1167
255	6642	1141
256	6670	1116
257	6698	1090
258	6731	1065
259	6759	1039
260	6789	1014
261	6817	988
262	6844	962
263	6870	936
264	6896	910
265	6923	884
266	6953	859
267	6983	833
268	7015	808
269	7043	782
270	7070	756
271	7095	730
272	7121	704
273	7148	678
274	7174	652
275	7200	626
276	7226	600
277	7256	574
278	7282	548
279	7306	521
280	7330	495
281	7354	469
282	7378	443
283	7404	417
284	7429	391
285	7453	364
286	7478	338
287	7504	312
288	7529	286
289	7554	260
290	7579	234
291	7604	208
292	7631	182
293	7656	156
294	7684	130
295	7709	104
296	7735	78
297	7761	52
298	7786	26
299	7812	0
