iter	Passed	Remaining
0	8	2689
1	16	2489
2	25	2496
3	33	2494
4	41	2453
5	50	2454
6	60	2527
7	68	2510
8	78	2533
9	87	2526
10	96	2529
11	104	2510
12	112	2483
13	120	2451
14	128	2437
15	137	2435
16	146	2431
17	153	2405
18	162	2403
19	172	2411
20	181	2409
21	189	2395
22	198	2391
23	206	2375
24	215	2371
25	223	2352
26	231	2344
27	240	2339
28	249	2335
29	257	2320
30	266	2316
31	274	2299
32	283	2297
33	292	2287
34	301	2279
35	309	2271
36	318	2265
37	327	2261
38	336	2252
39	344	2241
40	353	2231
41	362	2227
42	371	2217
43	379	2210
44	387	2196
45	396	2191
46	405	2181
47	414	2174
48	424	2171
49	432	2163
50	441	2153
51	449	2142
52	457	2134
53	465	2121
54	473	2110
55	482	2102
56	492	2098
57	500	2089
58	509	2080
59	519	2076
60	527	2065
61	535	2055
62	543	2045
63	552	2036
64	561	2029
65	569	2019
66	577	2009
67	587	2003
68	595	1994
69	602	1978
70	609	1966
71	617	1953
72	625	1944
73	633	1933
74	641	1923
75	649	1914
76	657	1904
77	665	1895
78	673	1883
79	680	1872
80	688	1862
81	697	1854
82	706	1846
83	714	1836
84	723	1829
85	731	1819
86	739	1810
87	747	1800
88	755	1792
89	764	1784
90	773	1776
91	784	1773
92	792	1764
93	800	1753
94	808	1744
95	824	1751
96	834	1746
97	842	1735
98	850	1725
99	857	1715
100	866	1706
101	875	1699
102	884	1691
103	892	1682
104	901	1674
105	909	1664
106	917	1654
107	925	1646
108	934	1637
109	943	1629
110	951	1620
111	958	1609
112	966	1598
113	973	1588
114	981	1579
115	991	1572
116	1000	1565
117	1010	1558
118	1019	1550
119	1028	1542
120	1036	1533
121	1045	1525
122	1053	1516
123	1062	1507
124	1070	1499
125	1079	1490
126	1087	1481
127	1095	1471
128	1103	1462
129	1111	1453
130	1120	1445
131	1129	1437
132	1137	1427
133	1144	1417
134	1152	1408
135	1160	1399
136	1169	1391
137	1177	1382
138	1185	1373
139	1193	1363
140	1201	1354
141	1208	1345
142	1216	1335
143	1226	1328
144	1235	1320
145	1244	1312
146	1252	1304
147	1261	1295
148	1270	1287
149	1280	1280
150	1289	1272
151	1300	1265
152	1309	1257
153	1318	1250
154	1327	1241
155	1335	1233
156	1345	1225
157	1354	1217
158	1363	1208
159	1373	1201
160	1382	1193
161	1391	1185
162	1400	1177
163	1409	1169
164	1418	1160
165	1428	1153
166	1437	1145
167	1447	1136
168	1456	1128
169	1464	1120
170	1473	1111
171	1483	1104
172	1491	1094
173	1500	1086
174	1509	1078
175	1518	1069
176	1527	1061
177	1536	1052
178	1544	1044
179	1553	1035
180	1563	1027
181	1572	1019
182	1580	1010
183	1589	1001
184	1599	993
185	1608	985
186	1617	977
187	1626	968
188	1634	960
189	1643	951
190	1652	942
191	1660	933
192	1669	925
193	1678	916
194	1687	908
195	1695	899
196	1704	891
197	1712	882
198	1721	873
199	1730	865
200	1740	857
201	1749	848
202	1758	840
203	1766	831
204	1775	822
205	1785	814
206	1797	807
207	1809	800
208	1817	791
209	1824	781
210	1832	772
211	1840	764
212	1850	755
213	1859	747
214	1885	745
215	1896	737
216	1908	729
217	1924	723
218	1940	717
219	1953	710
220	1967	703
221	1980	695
222	1994	688
223	2005	680
224	2017	672
225	2030	664
226	2041	656
227	2052	648
228	2064	640
229	2074	631
230	2084	622
231	2094	613
232	2105	605
233	2118	597
234	2130	589
235	2139	580
236	2149	571
237	2159	562
238	2168	553
239	2177	544
240	2186	535
241	2195	526
242	2204	517
243	2214	508
244	2223	499
245	2234	490
246	2242	481
247	2251	471
248	2259	462
249	2269	453
250	2278	444
251	2288	435
252	2298	427
253	2309	418
254	2317	408
255	2326	399
256	2336	390
257	2345	381
258	2354	372
259	2364	363
260	2374	354
261	2383	345
262	2391	336
263	2400	327
264	2409	318
265	2419	309
266	2428	300
267	2438	291
268	2447	282
269	2456	272
270	2465	263
271	2475	254
272	2485	245
273	2495	236
274	2505	227
275	2514	218
276	2525	209
277	2536	200
278	2546	191
279	2558	182
280	2570	173
281	2580	164
282	2591	155
283	2604	146
284	2616	137
285	2627	128
286	2638	119
287	2648	110
288	2658	101
289	2668	92
290	2679	82
291	2688	73
292	2699	64
293	2709	55
294	2722	46
295	2733	36
296	2742	27
297	2753	18
298	2763	9
299	2774	0
