iter	Passed	Remaining
0	7	2171
1	14	2196
2	21	2152
3	29	2168
4	36	2130
5	43	2138
6	51	2170
7	59	2182
8	68	2202
9	76	2206
10	83	2206
11	93	2232
12	103	2292
13	113	2313
14	120	2294
15	128	2280
16	135	2263
17	143	2244
18	151	2238
19	159	2232
20	167	2226
21	174	2209
22	182	2194
23	189	2175
24	196	2161
25	202	2138
26	210	2128
27	218	2118
28	225	2103
29	232	2089
30	239	2080
31	246	2062
32	254	2057
33	262	2054
34	270	2047
35	277	2033
36	285	2027
37	293	2020
38	301	2015
39	308	2005
40	316	1996
41	323	1984
42	330	1975
43	338	1968
44	345	1957
45	353	1949
46	360	1942
47	368	1934
48	376	1927
49	383	1919
50	391	1909
51	398	1898
52	405	1888
53	412	1879
54	419	1868
55	427	1861
56	434	1853
57	442	1845
58	449	1835
59	456	1827
60	464	1820
61	472	1813
62	479	1804
63	487	1795
64	494	1786
65	501	1777
66	508	1769
67	516	1761
68	523	1752
69	530	1741
70	538	1735
71	546	1729
72	553	1722
73	561	1714
74	568	1706
75	577	1702
76	585	1695
77	593	1689
78	601	1682
79	609	1676
80	617	1669
81	625	1662
82	632	1654
83	640	1647
84	647	1638
85	655	1630
86	662	1622
87	670	1614
88	677	1606
89	684	1597
90	692	1589
91	699	1581
92	707	1574
93	714	1565
94	721	1557
95	729	1549
96	736	1541
97	743	1533
98	751	1525
99	760	1520
100	767	1511
101	774	1503
102	782	1496
103	789	1488
104	797	1480
105	804	1471
106	811	1462
107	818	1455
108	826	1448
109	834	1440
110	841	1433
111	849	1426
112	857	1418
113	864	1410
114	872	1403
115	880	1397
116	888	1390
117	896	1382
118	903	1374
119	911	1366
120	918	1358
121	925	1351
122	933	1344
123	941	1336
124	949	1329
125	957	1322
126	965	1315
127	973	1307
128	980	1299
129	988	1292
130	997	1286
131	1005	1279
132	1013	1272
133	1021	1265
134	1029	1258
135	1037	1250
136	1044	1243
137	1052	1235
138	1059	1227
139	1067	1219
140	1074	1211
141	1082	1204
142	1091	1198
143	1101	1192
144	1109	1186
145	1120	1181
146	1127	1173
147	1134	1165
148	1142	1157
149	1150	1150
150	1157	1141
151	1164	1133
152	1171	1125
153	1178	1117
154	1186	1109
155	1193	1101
156	1200	1093
157	1207	1084
158	1214	1076
159	1221	1068
160	1229	1061
161	1237	1053
162	1245	1046
163	1253	1039
164	1261	1031
165	1269	1024
166	1277	1017
167	1285	1010
168	1294	1003
169	1302	995
170	1311	989
171	1319	981
172	1326	974
173	1334	966
174	1343	959
175	1352	953
176	1362	946
177	1371	939
178	1379	932
179	1387	924
180	1395	917
181	1402	909
182	1409	901
183	1416	893
184	1424	885
185	1432	877
186	1439	869
187	1447	862
188	1454	854
189	1462	846
190	1469	838
191	1476	830
192	1484	822
193	1492	815
194	1500	807
195	1508	800
196	1517	793
197	1525	785
198	1534	778
199	1542	771
200	1550	763
201	1558	756
202	1566	748
203	1574	740
204	1583	733
205	1591	726
206	1600	719
207	1608	711
208	1616	703
209	1624	696
210	1632	688
211	1639	680
212	1646	672
213	1654	664
214	1663	657
215	1671	649
216	1679	642
217	1687	634
218	1696	627
219	1705	620
220	1713	612
221	1720	604
222	1728	596
223	1736	589
224	1743	581
225	1751	573
226	1759	565
227	1766	557
228	1775	550
229	1783	542
230	1791	535
231	1799	527
232	1806	519
233	1814	511
234	1822	504
235	1831	496
236	1839	489
237	1847	481
238	1855	473
239	1863	465
240	1871	458
241	1879	450
242	1887	442
243	1894	434
244	1902	427
245	1910	419
246	1918	411
247	1925	403
248	1932	395
249	1939	387
250	1947	380
251	1955	372
252	1963	364
253	1972	357
254	1980	349
255	1988	341
256	1997	334
257	2005	326
258	2014	318
259	2023	311
260	2031	303
261	2040	295
262	2048	288
263	2057	280
264	2066	272
265	2074	265
266	2083	257
267	2091	249
268	2102	242
269	2112	234
270	2125	227
271	2132	219
272	2140	211
273	2148	203
274	2155	195
275	2163	188
276	2171	180
277	2179	172
278	2186	164
279	2194	156
280	2202	148
281	2210	141
282	2219	133
283	2226	125
284	2234	117
285	2242	109
286	2251	102
287	2260	94
288	2268	86
289	2277	78
290	2286	70
291	2295	62
292	2303	55
293	2311	47
294	2319	39
295	2328	31
296	2337	23
297	2346	15
298	2354	7
299	2362	0
